epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,947.771,1.51787,1.39304,1.22502,0.62918,0.41385,0.46619,0.28001,1.4183,1.8189,1.08506,0.0011882,0.0011882,0.0011882
43,970.052,1.52487,1.38204,1.20818,0.64213,0.42582,0.47221,0.29469,1.37326,1.75558,1.08289,0.0011684,0.0011684,0.0011684
44,991.702,1.52669,1.70565,1.2251,0.62661,0.40005,0.4494,0.28008,1.39767,1.86451,1.0921,0.0011486,0.0011486,0.0011486
45,1015.04,1.52644,1.44488,1.20785,0.63994,0.40265,0.46083,0.28858,1.36834,2.14288,1.07831,0.0011288,0.0011288,0.0011288
46,1035.96,1.45936,1.3535,1.19462,0.65151,0.40734,0.46698,0.28317,1.40463,1.74725,1.07706,0.001109,0.001109,0.001109
47,1059.13,1.41592,1.32283,1.17226,0.634,0.43233,0.48222,0.29821,1.38941,1.61583,1.07269,0.0010892,0.0010892,0.0010892
48,1080.98,1.50074,1.44207,1.21071,0.63293,0.41645,0.47359,0.29481,1.35684,1.61756,1.06118,0.0010694,0.0010694,0.0010694
49,1102.84,1.45189,1.38031,1.2212,0.61674,0.40083,0.4623,0.28905,1.39558,1.55058,1.07141,0.0010496,0.0010496,0.0010496
50,1125,1.54087,1.4268,1.22695,0.6507,0.4227,0.48296,0.30493,1.31516,1.55855,1.04339,0.0010298,0.0010298,0.0010298
51,1146.77,1.50091,1.36326,1.19868,0.64408,0.43883,0.48183,0.30032,1.36554,1.57142,1.0625,0.00101,0.00101,0.00101
52,1169.9,1.44181,1.41191,1.18777,0.59891,0.42712,0.47253,0.29996,1.30485,1.66354,1.0338,0.0009902,0.0009902,0.0009902
53,1191.24,1.36773,1.22753,1.16623,0.638,0.43671,0.49021,0.31015,1.31482,1.52978,1.03205,0.0009704,0.0009704,0.0009704
54,1214.71,1.43419,1.26228,1.16181,0.65207,0.45081,0.49829,0.31401,1.27752,1.53443,1.02796,0.0009506,0.0009506,0.0009506
55,1236.57,1.4568,1.36111,1.17813,0.66783,0.43519,0.49572,0.30723,1.29859,1.56044,1.03732,0.0009308,0.0009308,0.0009308
56,1258.48,1.45368,1.27367,1.15829,0.64008,0.45159,0.49864,0.30717,1.2937,1.66537,1.02205,0.000911,0.000911,0.000911
57,1281.11,1.42286,1.2734,1.16174,0.63495,0.44794,0.49968,0.31382,1.26775,1.66343,1.01901,0.0008912,0.0008912,0.0008912
58,1302.23,1.4034,1.27372,1.17388,0.64116,0.44794,0.50247,0.31831,1.26334,1.48484,1.01814,0.0008714,0.0008714,0.0008714
59,1326.21,1.41732,1.27534,1.1844,0.6315,0.467,0.50343,0.31586,1.2895,1.53518,1.02851,0.0008516,0.0008516,0.0008516
60,1347.25,1.37231,1.36532,1.18161,0.64831,0.44456,0.49969,0.31315,1.28623,1.41288,1.03236,0.0008318,0.0008318,0.0008318
61,1369.31,1.41685,1.31233,1.16708,0.66151,0.45423,0.51214,0.32157,1.28408,1.41661,1.03309,0.000812,0.000812,0.000812
62,1392.77,1.38284,1.2193,1.13678,0.64233,0.452,0.5087,0.31815,1.26907,1.36896,1.01482,0.0007922,0.0007922,0.0007922
63,1413.9,1.3523,1.32392,1.18027,0.64908,0.45627,0.51032,0.32356,1.25546,1.45359,1.01451,0.0007724,0.0007724,0.0007724
64,1437.52,1.42329,1.35569,1.19193,0.62275,0.46304,0.51211,0.32018,1.27852,1.49162,1.02369,0.0007526,0.0007526,0.0007526
65,1458.89,1.33979,1.24006,1.15308,0.64138,0.46304,0.51522,0.32773,1.28018,1.54314,1.02127,0.0007328,0.0007328,0.0007328
66,1482.62,1.32765,1.20501,1.15089,0.65286,0.44456,0.50331,0.32151,1.2477,1.4143,1.00912,0.000713,0.000713,0.000713
67,1503.91,1.42062,1.25241,1.15593,0.65813,0.45796,0.51776,0.32856,1.21196,1.44161,1.00609,0.0006932,0.0006932,0.0006932
68,1526.38,1.37313,1.22856,1.16016,0.64795,0.46122,0.51705,0.33174,1.2402,1.49295,1.00847,0.0006734,0.0006734,0.0006734
69,1549.56,1.3299,1.25347,1.16001,0.67341,0.46564,0.52651,0.33389,1.23502,1.6693,1.00778,0.0006536,0.0006536,0.0006536
